patient_id,review,cleaned_review,tokens,tokens_no_stop,tokens_lemmatized,preprocessed_text,remove_reason,polarity_score,sentiment
PATIENT_0012,Amazing doctors and nurses. They really care about patients.,amazing doctors and nurses they really care about patients,"['amazing', 'doctors', 'and', 'nurses', 'they', 'really', 'care', 'about', 'patients']","['amazing', 'doctors', 'nurses', 'really', 'care', 'patients']","['amazing', 'doctor', 'nurse', 'really', 'care', 'patient']",amazing doctor nurse really care patient,keep,0.4,Positive
PATIENT_0013,The doctor was dismissive and didn't listen to my concerns.,the doctor was dismissive and did not listen to my concerns,"['the', 'doctor', 'was', 'dismissive', 'and', 'did', 'not', 'listen', 'to', 'my', 'concerns']","['doctor', 'dismissive', 'listen', 'concerns']","['doctor', 'dismissive', 'listen', 'concern']",doctor dismissive listen concern,keep,0.0,Neutral
PATIENT_0014,Waste of time and money. Very unhelpful staff.,waste of time and money very unhelpful staff,"['waste', 'of', 'time', 'and', 'money', 'very', 'unhelpful', 'staff']","['waste', 'time', 'money', 'unhelpful', 'staff']","['waste', 'time', 'money', 'unhelpful', 'staff']",waste time money unhelpful staff,keep,-0.2,Negative
PATIENT_0015,Very knowledgeable doctor. Great communication and support.,very knowledgeable doctor great communication and support,"['very', 'knowledgeable', 'doctor', 'great', 'communication', 'and', 'support']","['knowledgeable', 'doctor', 'great', 'communication', 'support']","['knowledgeable', 'doctor', 'great', 'communication', 'support']",knowledgeable doctor great communication support,keep,0.8,Positive
PATIENT_0016,The clinic is well-organized and the staff is friendly.,the clinic is wellorganized and the staff is friendly,"['the', 'clinic', 'is', 'wellorganized', 'and', 'the', 'staff', 'is', 'friendly']","['clinic', 'wellorganized', 'staff', 'friendly']","['clinic', 'wellorganized', 'staff', 'friendly']",clinic wellorganized staff friendly,keep,0.375,Positive
PATIENT_0017,The appointment was standard. Service was average.,the appointment was standard service was average,"['the', 'appointment', 'was', 'standard', 'service', 'was', 'average']","['appointment', 'standard', 'service', 'average']","['appointment', 'standard', 'service', 'average']",appointment standard service average,keep,-0.075,Neutral
PATIENT_0018,The clinic is well-organized and the staff is friendly.,the clinic is wellorganized and the staff is friendly,"['the', 'clinic', 'is', 'wellorganized', 'and', 'the', 'staff', 'is', 'friendly']","['clinic', 'wellorganized', 'staff', 'friendly']","['clinic', 'wellorganized', 'staff', 'friendly']",clinic wellorganized staff friendly,keep,0.375,Positive
PATIENT_0019,Felt very welcome and well taken care of. Excellent experience!,felt very welcome and well taken care of excellent experience,"['felt', 'very', 'welcome', 'and', 'well', 'taken', 'care', 'of', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']",felt welcome well taken care excellent experience,keep,0.9,Positive
PATIENT_0020,The appointment was standard. Service was average.,the appointment was standard service was average,"['the', 'appointment', 'was', 'standard', 'service', 'was', 'average']","['appointment', 'standard', 'service', 'average']","['appointment', 'standard', 'service', 'average']",appointment standard service average,keep,-0.075,Neutral
PATIENT_0021,Average service quality. Could be better or worse.,average service quality could be better or worse,"['average', 'service', 'quality', 'could', 'be', 'better', 'or', 'worse']","['average', 'service', 'quality', 'could', 'better', 'worse']","['average', 'service', 'quality', 'could', 'better', 'worse']",average service quality could better worse,keep,-0.01666666666666668,Neutral
PATIENT_0022,Would give negative stars if possible. Terrible experience.,would give negative stars if possible terrible experience,"['would', 'give', 'negative', 'stars', 'if', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'stars', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'star', 'possible', 'terrible', 'experience']",would give negative star possible terrible experience,keep,-0.43333333333333335,Negative
PATIENT_0023,Average service quality. Could be better or worse.,average service quality could be better or worse,"['average', 'service', 'quality', 'could', 'be', 'better', 'or', 'worse']","['average', 'service', 'quality', 'could', 'better', 'worse']","['average', 'service', 'quality', 'could', 'better', 'worse']",average service quality could better worse,keep,-0.01666666666666668,Neutral
PATIENT_0024,The appointment was standard. Service was average.,the appointment was standard service was average,"['the', 'appointment', 'was', 'standard', 'service', 'was', 'average']","['appointment', 'standard', 'service', 'average']","['appointment', 'standard', 'service', 'average']",appointment standard service average,keep,-0.075,Neutral
PATIENT_0025,Felt rushed during my appointment. Not satisfied.,felt rushed during my appointment not satisfied,"['felt', 'rushed', 'during', 'my', 'appointment', 'not', 'satisfied']","['felt', 'rushed', 'appointment', 'satisfied']","['felt', 'rushed', 'appointment', 'satisfied']",felt rushed appointment satisfied,keep,0.5,Positive
PATIENT_0026,The clinic is well-organized and the staff is friendly.,the clinic is wellorganized and the staff is friendly,"['the', 'clinic', 'is', 'wellorganized', 'and', 'the', 'staff', 'is', 'friendly']","['clinic', 'wellorganized', 'staff', 'friendly']","['clinic', 'wellorganized', 'staff', 'friendly']",clinic wellorganized staff friendly,keep,0.375,Positive
PATIENT_0027,The appointment was standard. Service was average.,the appointment was standard service was average,"['the', 'appointment', 'was', 'standard', 'service', 'was', 'average']","['appointment', 'standard', 'service', 'average']","['appointment', 'standard', 'service', 'average']",appointment standard service average,keep,-0.075,Neutral
PATIENT_0028,Amazing doctors and nurses. They really care about patients.,amazing doctors and nurses they really care about patients,"['amazing', 'doctors', 'and', 'nurses', 'they', 'really', 'care', 'about', 'patients']","['amazing', 'doctors', 'nurses', 'really', 'care', 'patients']","['amazing', 'doctor', 'nurse', 'really', 'care', 'patient']",amazing doctor nurse really care patient,keep,0.4,Positive
PATIENT_0029,Excellent service and clean facilities. Would recommend to everyone.,excellent service and clean facilities would recommend to everyone,"['excellent', 'service', 'and', 'clean', 'facilities', 'would', 'recommend', 'to', 'everyone']","['excellent', 'service', 'clean', 'facilities', 'would', 'recommend', 'everyone']","['excellent', 'service', 'clean', 'facility', 'would', 'recommend', 'everyone']",excellent service clean facility would recommend everyone,keep,0.6833333333333333,Positive
PATIENT_0030,Amazing doctors and nurses. They really care about patients.,amazing doctors and nurses they really care about patients,"['amazing', 'doctors', 'and', 'nurses', 'they', 'really', 'care', 'about', 'patients']","['amazing', 'doctors', 'nurses', 'really', 'care', 'patients']","['amazing', 'doctor', 'nurse', 'really', 'care', 'patient']",amazing doctor nurse really care patient,keep,0.4,Positive
PATIENT_0031,Waste of time and money. Very unhelpful staff.,waste of time and money very unhelpful staff,"['waste', 'of', 'time', 'and', 'money', 'very', 'unhelpful', 'staff']","['waste', 'time', 'money', 'unhelpful', 'staff']","['waste', 'time', 'money', 'unhelpful', 'staff']",waste time money unhelpful staff,keep,-0.2,Negative
PATIENT_0032,Felt very welcome and well taken care of. Excellent experience!,felt very welcome and well taken care of excellent experience,"['felt', 'very', 'welcome', 'and', 'well', 'taken', 'care', 'of', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']",felt welcome well taken care excellent experience,keep,0.9,Positive
PATIENT_0033,Waste of time and money. Very unhelpful staff.,waste of time and money very unhelpful staff,"['waste', 'of', 'time', 'and', 'money', 'very', 'unhelpful', 'staff']","['waste', 'time', 'money', 'unhelpful', 'staff']","['waste', 'time', 'money', 'unhelpful', 'staff']",waste time money unhelpful staff,keep,-0.2,Negative
PATIENT_0034,Would give negative stars if possible. Terrible experience.,would give negative stars if possible terrible experience,"['would', 'give', 'negative', 'stars', 'if', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'stars', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'star', 'possible', 'terrible', 'experience']",would give negative star possible terrible experience,keep,-0.43333333333333335,Negative
PATIENT_0035,Top-notch medical services. Highly recommended!,topnotch medical services highly recommended,"['topnotch', 'medical', 'services', 'highly', 'recommended']","['topnotch', 'medical', 'services', 'highly', 'recommended']","['topnotch', 'medical', 'service', 'highly', 'recommended']",topnotch medical service highly recommended,keep,0.08,Neutral
PATIENT_0036,The doctor was very professional and caring. Highly satisfied!,the doctor was very professional and caring highly satisfied,"['the', 'doctor', 'was', 'very', 'professional', 'and', 'caring', 'highly', 'satisfied']","['doctor', 'professional', 'caring', 'highly', 'satisfied']","['doctor', 'professional', 'caring', 'highly', 'satisfied']",doctor professional caring highly satisfied,keep,0.3,Positive
PATIENT_0037,Amazing doctors and nurses. They really care about patients.,amazing doctors and nurses they really care about patients,"['amazing', 'doctors', 'and', 'nurses', 'they', 'really', 'care', 'about', 'patients']","['amazing', 'doctors', 'nurses', 'really', 'care', 'patients']","['amazing', 'doctor', 'nurse', 'really', 'care', 'patient']",amazing doctor nurse really care patient,keep,0.4,Positive
PATIENT_0038,Terrible experience. Long wait times and rude staff.,terrible experience long wait times and rude staff,"['terrible', 'experience', 'long', 'wait', 'times', 'and', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'times', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'time', 'rude', 'staff']",terrible experience long wait time rude staff,keep,-0.45,Negative
PATIENT_0039,Excellent service and clean facilities. Would recommend to everyone.,excellent service and clean facilities would recommend to everyone,"['excellent', 'service', 'and', 'clean', 'facilities', 'would', 'recommend', 'to', 'everyone']","['excellent', 'service', 'clean', 'facilities', 'would', 'recommend', 'everyone']","['excellent', 'service', 'clean', 'facility', 'would', 'recommend', 'everyone']",excellent service clean facility would recommend everyone,keep,0.6833333333333333,Positive
PATIENT_0040,Would give negative stars if possible. Terrible experience.,would give negative stars if possible terrible experience,"['would', 'give', 'negative', 'stars', 'if', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'stars', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'star', 'possible', 'terrible', 'experience']",would give negative star possible terrible experience,keep,-0.43333333333333335,Negative
PATIENT_0041,It was an okay experience. Nothing special.,it was an okay experience nothing special,"['it', 'was', 'an', 'okay', 'experience', 'nothing', 'special']","['okay', 'experience', 'nothing', 'special']","['okay', 'experience', 'nothing', 'special']",okay experience nothing special,keep,0.4285714285714286,Positive
PATIENT_0042,Would give negative stars if possible. Terrible experience.,would give negative stars if possible terrible experience,"['would', 'give', 'negative', 'stars', 'if', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'stars', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'star', 'possible', 'terrible', 'experience']",would give negative star possible terrible experience,keep,-0.43333333333333335,Negative
PATIENT_0043,Decent facilities but could be cleaner.,decent facilities but could be cleaner,"['decent', 'facilities', 'but', 'could', 'be', 'cleaner']","['decent', 'facilities', 'could', 'cleaner']","['decent', 'facility', 'could', 'cleaner']",decent facility could cleaner,keep,0.16666666666666666,Positive
PATIENT_0044,The doctor was adequate in their approach.,the doctor was adequate in their approach,"['the', 'doctor', 'was', 'adequate', 'in', 'their', 'approach']","['doctor', 'adequate', 'approach']","['doctor', 'adequate', 'approach']",doctor adequate approach,keep,0.3333333333333333,Positive
PATIENT_0045,Terrible experience. Long wait times and rude staff.,terrible experience long wait times and rude staff,"['terrible', 'experience', 'long', 'wait', 'times', 'and', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'times', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'time', 'rude', 'staff']",terrible experience long wait time rude staff,keep,-0.45,Negative
PATIENT_0046,The treatment was ineffective and expensive.,the treatment was ineffective and expensive,"['the', 'treatment', 'was', 'ineffective', 'and', 'expensive']","['treatment', 'ineffective', 'expensive']","['treatment', 'ineffective', 'expensive']",treatment ineffective expensive,keep,-0.5,Negative
PATIENT_0047,"It was fine, nothing to complain about.",it was fine nothing to complain about,"['it', 'was', 'fine', 'nothing', 'to', 'complain', 'about']","['fine', 'nothing', 'complain']","['fine', 'nothing', 'complain']",fine nothing complain,keep,0.4166666666666667,Positive
PATIENT_0048,Excellent service and clean facilities. Would recommend to everyone.,excellent service and clean facilities would recommend to everyone,"['excellent', 'service', 'and', 'clean', 'facilities', 'would', 'recommend', 'to', 'everyone']","['excellent', 'service', 'clean', 'facilities', 'would', 'recommend', 'everyone']","['excellent', 'service', 'clean', 'facility', 'would', 'recommend', 'everyone']",excellent service clean facility would recommend everyone,keep,0.6833333333333333,Positive
PATIENT_0049,The medical staff treated me with great respect and compassion.,the medical staff treated me with great respect and compassion,"['the', 'medical', 'staff', 'treated', 'me', 'with', 'great', 'respect', 'and', 'compassion']","['medical', 'staff', 'treated', 'great', 'respect', 'compassion']","['medical', 'staff', 'treated', 'great', 'respect', 'compassion']",medical staff treated great respect compassion,keep,0.4,Positive
PATIENT_0050,Poor communication from the medical team.,poor communication from the medical team,"['poor', 'communication', 'from', 'the', 'medical', 'team']","['poor', 'communication', 'medical', 'team']","['poor', 'communication', 'medical', 'team']",poor communication medical team,keep,-0.2,Negative
PATIENT_0051,Unprofessional behavior from the receptionist.,unprofessional behavior from the receptionist,"['unprofessional', 'behavior', 'from', 'the', 'receptionist']","['unprofessional', 'behavior', 'receptionist']","['unprofessional', 'behavior', 'receptionist']",unprofessional behavior receptionist,keep,0.0,Neutral
PATIENT_0052,Decent facilities but could be cleaner.,decent facilities but could be cleaner,"['decent', 'facilities', 'but', 'could', 'be', 'cleaner']","['decent', 'facilities', 'could', 'cleaner']","['decent', 'facility', 'could', 'cleaner']",decent facility could cleaner,keep,0.16666666666666666,Positive
PATIENT_0053,The treatment was ineffective and expensive.,the treatment was ineffective and expensive,"['the', 'treatment', 'was', 'ineffective', 'and', 'expensive']","['treatment', 'ineffective', 'expensive']","['treatment', 'ineffective', 'expensive']",treatment ineffective expensive,keep,-0.5,Negative
PATIENT_0054,The experience was acceptable but unremarkable.,the experience was acceptable but unremarkable,"['the', 'experience', 'was', 'acceptable', 'but', 'unremarkable']","['experience', 'acceptable', 'unremarkable']","['experience', 'acceptable', 'unremarkable']",experience acceptable unremarkable,keep,0.0,Neutral
PATIENT_0055,Outstanding care from the entire team. Thank you so much!,outstanding care from the entire team thank you so much,"['outstanding', 'care', 'from', 'the', 'entire', 'team', 'thank', 'you', 'so', 'much']","['outstanding', 'care', 'entire', 'team', 'thank', 'much']","['outstanding', 'care', 'entire', 'team', 'thank', 'much']",outstanding care entire team thank much,keep,0.2333333333333333,Positive
PATIENT_0056,Terrible experience. Long wait times and rude staff.,terrible experience long wait times and rude staff,"['terrible', 'experience', 'long', 'wait', 'times', 'and', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'times', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'time', 'rude', 'staff']",terrible experience long wait time rude staff,keep,-0.45,Negative
PATIENT_0057,The clinic is well-organized and the staff is friendly.,the clinic is wellorganized and the staff is friendly,"['the', 'clinic', 'is', 'wellorganized', 'and', 'the', 'staff', 'is', 'friendly']","['clinic', 'wellorganized', 'staff', 'friendly']","['clinic', 'wellorganized', 'staff', 'friendly']",clinic wellorganized staff friendly,keep,0.375,Positive
PATIENT_0058,Amazing doctors and nurses. They really care about patients.,amazing doctors and nurses they really care about patients,"['amazing', 'doctors', 'and', 'nurses', 'they', 'really', 'care', 'about', 'patients']","['amazing', 'doctors', 'nurses', 'really', 'care', 'patients']","['amazing', 'doctor', 'nurse', 'really', 'care', 'patient']",amazing doctor nurse really care patient,keep,0.4,Positive
PATIENT_0059,Very disappointed with the service. Would not return.,very disappointed with the service would not return,"['very', 'disappointed', 'with', 'the', 'service', 'would', 'not', 'return']","['disappointed', 'service', 'would', 'return']","['disappointed', 'service', 'would', 'return']",disappointed service would return,keep,-0.75,Negative
PATIENT_0060,Felt very welcome and well taken care of. Excellent experience!,felt very welcome and well taken care of excellent experience,"['felt', 'very', 'welcome', 'and', 'well', 'taken', 'care', 'of', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']",felt welcome well taken care excellent experience,keep,0.9,Positive
PATIENT_0061,Felt rushed during my appointment. Not satisfied.,felt rushed during my appointment not satisfied,"['felt', 'rushed', 'during', 'my', 'appointment', 'not', 'satisfied']","['felt', 'rushed', 'appointment', 'satisfied']","['felt', 'rushed', 'appointment', 'satisfied']",felt rushed appointment satisfied,keep,0.5,Positive
PATIENT_0062,The experience was acceptable but unremarkable.,the experience was acceptable but unremarkable,"['the', 'experience', 'was', 'acceptable', 'but', 'unremarkable']","['experience', 'acceptable', 'unremarkable']","['experience', 'acceptable', 'unremarkable']",experience acceptable unremarkable,keep,0.0,Neutral
PATIENT_0063,Terrible experience. Long wait times and rude staff.,terrible experience long wait times and rude staff,"['terrible', 'experience', 'long', 'wait', 'times', 'and', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'times', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'time', 'rude', 'staff']",terrible experience long wait time rude staff,keep,-0.45,Negative
PATIENT_0064,Average service quality. Could be better or worse.,average service quality could be better or worse,"['average', 'service', 'quality', 'could', 'be', 'better', 'or', 'worse']","['average', 'service', 'quality', 'could', 'better', 'worse']","['average', 'service', 'quality', 'could', 'better', 'worse']",average service quality could better worse,keep,-0.01666666666666668,Neutral
PATIENT_0065,The doctor was very professional and caring. Highly satisfied!,the doctor was very professional and caring highly satisfied,"['the', 'doctor', 'was', 'very', 'professional', 'and', 'caring', 'highly', 'satisfied']","['doctor', 'professional', 'caring', 'highly', 'satisfied']","['doctor', 'professional', 'caring', 'highly', 'satisfied']",doctor professional caring highly satisfied,keep,0.3,Positive
PATIENT_0066,Excellent service and clean facilities. Would recommend to everyone.,excellent service and clean facilities would recommend to everyone,"['excellent', 'service', 'and', 'clean', 'facilities', 'would', 'recommend', 'to', 'everyone']","['excellent', 'service', 'clean', 'facilities', 'would', 'recommend', 'everyone']","['excellent', 'service', 'clean', 'facility', 'would', 'recommend', 'everyone']",excellent service clean facility would recommend everyone,keep,0.6833333333333333,Positive
PATIENT_0067,Would give negative stars if possible. Terrible experience.,would give negative stars if possible terrible experience,"['would', 'give', 'negative', 'stars', 'if', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'stars', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'star', 'possible', 'terrible', 'experience']",would give negative star possible terrible experience,keep,-0.43333333333333335,Negative
PATIENT_0068,Amazing doctors and nurses. They really care about patients.,amazing doctors and nurses they really care about patients,"['amazing', 'doctors', 'and', 'nurses', 'they', 'really', 'care', 'about', 'patients']","['amazing', 'doctors', 'nurses', 'really', 'care', 'patients']","['amazing', 'doctor', 'nurse', 'really', 'care', 'patient']",amazing doctor nurse really care patient,keep,0.4,Positive
PATIENT_0069,Poor communication from the medical team.,poor communication from the medical team,"['poor', 'communication', 'from', 'the', 'medical', 'team']","['poor', 'communication', 'medical', 'team']","['poor', 'communication', 'medical', 'team']",poor communication medical team,keep,-0.2,Negative
PATIENT_0070,The treatment was ineffective and expensive.,the treatment was ineffective and expensive,"['the', 'treatment', 'was', 'ineffective', 'and', 'expensive']","['treatment', 'ineffective', 'expensive']","['treatment', 'ineffective', 'expensive']",treatment ineffective expensive,keep,-0.5,Negative
PATIENT_0071,Very disappointed with the service. Would not return.,very disappointed with the service would not return,"['very', 'disappointed', 'with', 'the', 'service', 'would', 'not', 'return']","['disappointed', 'service', 'would', 'return']","['disappointed', 'service', 'would', 'return']",disappointed service would return,keep,-0.75,Negative
PATIENT_0072,Unprofessional behavior from the receptionist.,unprofessional behavior from the receptionist,"['unprofessional', 'behavior', 'from', 'the', 'receptionist']","['unprofessional', 'behavior', 'receptionist']","['unprofessional', 'behavior', 'receptionist']",unprofessional behavior receptionist,keep,0.0,Neutral
PATIENT_0073,The appointment was standard. Service was average.,the appointment was standard service was average,"['the', 'appointment', 'was', 'standard', 'service', 'was', 'average']","['appointment', 'standard', 'service', 'average']","['appointment', 'standard', 'service', 'average']",appointment standard service average,keep,-0.075,Neutral
PATIENT_0074,Felt very welcome and well taken care of. Excellent experience!,felt very welcome and well taken care of excellent experience,"['felt', 'very', 'welcome', 'and', 'well', 'taken', 'care', 'of', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']","['felt', 'welcome', 'well', 'taken', 'care', 'excellent', 'experience']",felt welcome well taken care excellent experience,keep,0.9,Positive
PATIENT_0075,The medical staff treated me with great respect and compassion.,the medical staff treated me with great respect and compassion,"['the', 'medical', 'staff', 'treated', 'me', 'with', 'great', 'respect', 'and', 'compassion']","['medical', 'staff', 'treated', 'great', 'respect', 'compassion']","['medical', 'staff', 'treated', 'great', 'respect', 'compassion']",medical staff treated great respect compassion,keep,0.4,Positive
PATIENT_0076,Outstanding care from the entire team. Thank you so much!,outstanding care from the entire team thank you so much,"['outstanding', 'care', 'from', 'the', 'entire', 'team', 'thank', 'you', 'so', 'much']","['outstanding', 'care', 'entire', 'team', 'thank', 'much']","['outstanding', 'care', 'entire', 'team', 'thank', 'much']",outstanding care entire team thank much,keep,0.2333333333333333,Positive
PATIENT_0077,It was just a regular doctor's visit.,it was just a regular doctors visit,"['it', 'was', 'just', 'a', 'regular', 'doctors', 'visit']","['regular', 'doctors', 'visit']","['regular', 'doctor', 'visit']",regular doctor visit,keep,0.0,Neutral
PATIENT_0078,Terrible experience. Long wait times and rude staff.,terrible experience long wait times and rude staff,"['terrible', 'experience', 'long', 'wait', 'times', 'and', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'times', 'rude', 'staff']","['terrible', 'experience', 'long', 'wait', 'time', 'rude', 'staff']",terrible experience long wait time rude staff,keep,-0.45,Negative
PATIENT_0079,Would give negative stars if possible. Terrible experience.,would give negative stars if possible terrible experience,"['would', 'give', 'negative', 'stars', 'if', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'stars', 'possible', 'terrible', 'experience']","['would', 'give', 'negative', 'star', 'possible', 'terrible', 'experience']",would give negative star possible terrible experience,keep,-0.43333333333333335,Negative
PATIENT_0080,Poor communication from the medical team.,poor communication from the medical team,"['poor', 'communication', 'from', 'the', 'medical', 'team']","['poor', 'communication', 'medical', 'team']","['poor', 'communication', 'medical', 'team']",poor communication medical team,keep,-0.2,Negative
PATIENT_0081,Best healthcare experience I've had. Very impressed!,best healthcare experience i have had very impressed,"['best', 'healthcare', 'experience', 'i', 'have', 'had', 'very', 'impressed']","['best', 'healthcare', 'experience', 'impressed']","['best', 'healthcare', 'experience', 'impressed']",best healthcare experience impressed,keep,1.0,Positive
PATIENT_0082,The doctor was adequate in their approach.,the doctor was adequate in their approach,"['the', 'doctor', 'was', 'adequate', 'in', 'their', 'approach']","['doctor', 'adequate', 'approach']","['doctor', 'adequate', 'approach']",doctor adequate approach,keep,0.3333333333333333,Positive
PATIENT_0083,The doctor was very professional and caring. Highly satisfied!,the doctor was very professional and caring highly satisfied,"['the', 'doctor', 'was', 'very', 'professional', 'and', 'caring', 'highly', 'satisfied']","['doctor', 'professional', 'caring', 'highly', 'satisfied']","['doctor', 'professional', 'caring', 'highly', 'satisfied']",doctor professional caring highly satisfied,keep,0.3,Positive
PATIENT_0084,The experience was acceptable but unremarkable.,the experience was acceptable but unremarkable,"['the', 'experience', 'was', 'acceptable', 'but', 'unremarkable']","['experience', 'acceptable', 'unremarkable']","['experience', 'acceptable', 'unremarkable']",experience acceptable unremarkable,keep,0.0,Neutral
PATIENT_0085,Average service quality. Could be better or worse.,average service quality could be better or worse,"['average', 'service', 'quality', 'could', 'be', 'better', 'or', 'worse']","['average', 'service', 'quality', 'could', 'better', 'worse']","['average', 'service', 'quality', 'could', 'better', 'worse']",average service quality could better worse,keep,-0.01666666666666668,Neutral
PATIENT_0086,The doctor was dismissive and didn't listen to my concerns.,the doctor was dismissive and did not listen to my concerns,"['the', 'doctor', 'was', 'dismissive', 'and', 'did', 'not', 'listen', 'to', 'my', 'concerns']","['doctor', 'dismissive', 'listen', 'concerns']","['doctor', 'dismissive', 'listen', 'concern']",doctor dismissive listen concern,keep,0.0,Neutral
PATIENT_0087,Waste of time and money. Very unhelpful staff.,waste of time and money very unhelpful staff,"['waste', 'of', 'time', 'and', 'money', 'very', 'unhelpful', 'staff']","['waste', 'time', 'money', 'unhelpful', 'staff']","['waste', 'time', 'money', 'unhelpful', 'staff']",waste time money unhelpful staff,keep,-0.2,Negative
